time;Supported PIDs;S-S DTC Cleared;DTC C-F-F;Fuel System Stat;Calc Load Value;Coolant Temp;S-T Fuel Trim 1;L-T Fuel Trim 1;S-T Fuel Trim 2;L-T Fuel Trim 2;FuelRail Pressure;Intk Manifold;Engine RPM;Vehicle Speed;Timing Advance;Intake Air Temp;AirFlow Rate(MAF);Throttle Position;2nd Air Status;Loc of O2 sensors;O2 Sensor: 1 - 1;O2 Sensor: 1 - 2;O2 Sensor: 1 - 3;O2 Sensor: 1 - 4;O2 Sensor: 2 - 1;O2 Sensor: 2 - 2;O2 Sensor: 2 - 3;O2 Sensor: 2 - 4;OBD Designation;Loc of O2 sensor;Aux input status;Engine Start MIN;Engine Run MIL
01/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2178;105;-1;24;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
02/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3725;40;-1;35;78;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
03/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9715;119;-1;39;19;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
04/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6697;66;-1;57;60;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
05/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6645;7;-1;62;50;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
06/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6931;11;-1;73;85;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
07/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;446;16;-1;19;88;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
08/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4173;83;-1;50;31;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
09/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3233;64;-1;53;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
10/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7686;74;-1;77;21;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
11/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2953;19;-1;74;37;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
12/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1958;112;-1;77;19;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
13/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1874;87;-1;54;49;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
14/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9218;83;-1;72;39;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
15/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3126;60;-1;41;27;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
16/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4239;78;-1;0;25;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
17/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3205;77;-1;60;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
18/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;128;1;-1;59;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
19/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;867;97;-1;14;58;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;552;11;-1;36;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
21/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1260;68;-1;3;50;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
22/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2924;17;-1;7;20;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
23/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;483;98;-1;19;21;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
24/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7402;36;-1;28;17;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
25/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;765;78;-1;6;78;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
26/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2472;61;-1;33;54;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
27/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9086;42;-1;34;9;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
28/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6007;105;-1;63;6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
29/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2939;27;-1;75;14;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
30/01/2017;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8404;108;-1;36;22;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
